Frame,Time (s),Label,Confidence,"Bounding Box (x1,y1,x2,y2)"
104,1.74,With Helmet,0.38,"(410,101,481,182)"
105,1.75,No Helmet,0.68,"(660,24,710,88)"
105,1.75,With Helmet,0.58,"(410,102,480,183)"
105,1.75,No Helmet,0.49,"(316,0,353,44)"
105,1.75,No Helmet,0.39,"(469,93,510,167)"
105,1.75,With Helmet,0.39,"(234,43,291,125)"
106,1.77,No Helmet,0.64,"(662,20,712,88)"
106,1.77,With Helmet,0.45,"(232,41,290,114)"
106,1.77,With Helmet,0.44,"(409,102,478,184)"
106,1.77,No Helmet,0.42,"(470,96,511,167)"
106,1.77,No Helmet,0.35,"(317,0,356,40)"
107,1.79,No Helmet,0.69,"(666,19,715,86)"
107,1.79,With Helmet,0.52,"(230,41,287,116)"
107,1.79,No Helmet,0.48,"(470,95,510,168)"
107,1.79,With Helmet,0.39,"(408,103,477,184)"
108,1.8,No Helmet,0.73,"(669,20,717,81)"
108,1.8,With Helmet,0.51,"(227,41,284,117)"
108,1.8,No Helmet,0.37,"(463,93,509,169)"
108,1.8,No Helmet,0.36,"(322,0,361,39)"
108,1.8,With Helmet,0.26,"(405,102,476,184)"
109,1.82,No Helmet,0.77,"(669,19,717,83)"
109,1.82,With Helmet,0.52,"(222,40,282,120)"
109,1.82,No Helmet,0.50,"(462,92,508,167)"
109,1.82,No Helmet,0.35,"(326,0,364,39)"
110,1.84,No Helmet,0.68,"(671,18,719,83)"
110,1.84,With Helmet,0.60,"(218,41,278,124)"
110,1.84,No Helmet,0.37,"(461,91,506,167)"
111,1.85,With Helmet,0.63,"(215,45,275,127)"
111,1.85,No Helmet,0.59,"(674,17,720,82)"
111,1.85,No Helmet,0.30,"(462,91,505,166)"
111,1.85,With Helmet,0.26,"(400,101,474,184)"
112,1.87,No Helmet,0.67,"(676,17,723,83)"
112,1.87,With Helmet,0.66,"(212,44,272,131)"
112,1.87,No Helmet,0.30,"(461,92,504,168)"
113,1.89,No Helmet,0.71,"(678,16,724,84)"
113,1.89,With Helmet,0.57,"(208,45,268,129)"
113,1.89,No Helmet,0.34,"(459,91,502,168)"
114,1.9,No Helmet,0.71,"(680,16,725,83)"
114,1.9,With Helmet,0.56,"(206,45,263,128)"
114,1.9,No Helmet,0.28,"(459,91,500,167)"
115,1.92,No Helmet,0.70,"(680,15,727,83)"
115,1.92,With Helmet,0.68,"(199,46,262,129)"
116,1.94,No Helmet,0.75,"(681,16,729,83)"
116,1.94,With Helmet,0.69,"(195,46,258,129)"
117,1.95,No Helmet,0.73,"(681,15,731,84)"
117,1.95,With Helmet,0.63,"(191,45,254,128)"
118,1.97,No Helmet,0.72,"(681,15,732,85)"
118,1.97,With Helmet,0.67,"(187,45,250,132)"
119,1.99,With Helmet,0.67,"(184,41,246,131)"
119,1.99,No Helmet,0.65,"(682,14,733,86)"
120,2.0,With Helmet,0.68,"(180,41,243,130)"
120,2.0,No Helmet,0.68,"(685,15,735,83)"
121,2.02,With Helmet,0.72,"(173,44,238,124)"
121,2.02,No Helmet,0.68,"(690,15,736,82)"
122,2.04,No Helmet,0.72,"(691,14,738,84)"
122,2.04,With Helmet,0.67,"(171,45,234,130)"
122,2.04,No Helmet,0.44,"(446,96,491,171)"
123,2.05,No Helmet,0.67,"(693,14,739,81)"
123,2.05,With Helmet,0.63,"(165,46,231,130)"
123,2.05,No Helmet,0.36,"(449,98,491,173)"
124,2.07,No Helmet,0.71,"(693,15,741,80)"
124,2.07,With Helmet,0.58,"(163,48,228,130)"
124,2.07,No Helmet,0.48,"(447,97,489,173)"
125,2.09,No Helmet,0.70,"(694,16,742,81)"
125,2.09,No Helmet,0.54,"(447,99,489,173)"
125,2.09,With Helmet,0.50,"(161,47,223,130)"
126,2.1,No Helmet,0.67,"(697,16,745,82)"
126,2.1,No Helmet,0.54,"(445,98,489,173)"
126,2.1,With Helmet,0.39,"(157,49,218,122)"
127,2.12,No Helmet,0.65,"(700,16,747,81)"
127,2.12,No Helmet,0.53,"(449,102,488,172)"
127,2.12,With Helmet,0.50,"(153,50,214,121)"
128,2.14,No Helmet,0.71,"(699,19,747,88)"
128,2.14,With Helmet,0.66,"(149,50,211,131)"
128,2.14,No Helmet,0.40,"(449,103,487,172)"
129,2.15,No Helmet,0.73,"(702,21,750,92)"
129,2.15,With Helmet,0.61,"(144,51,208,132)"
129,2.15,No Helmet,0.30,"(448,105,486,174)"
130,2.17,With Helmet,0.70,"(141,53,203,137)"
130,2.17,No Helmet,0.65,"(704,22,753,90)"
131,2.19,With Helmet,0.67,"(137,54,199,137)"
131,2.19,No Helmet,0.62,"(703,24,755,93)"
131,2.19,With Helmet,0.47,"(274,236,361,367)"
132,2.2,With Helmet,0.63,"(132,56,195,135)"
132,2.2,No Helmet,0.62,"(704,25,757,96)"
132,2.2,With Helmet,0.28,"(263,243,343,370)"
133,2.22,No Helmet,0.66,"(707,27,760,95)"
133,2.22,With Helmet,0.53,"(128,56,191,146)"
133,2.22,With Helmet,0.47,"(252,249,331,378)"
134,2.24,No Helmet,0.75,"(713,27,763,96)"
134,2.24,With Helmet,0.72,"(237,253,320,384)"
134,2.24,With Helmet,0.53,"(125,57,187,149)"
135,2.25,No Helmet,0.72,"(714,28,764,95)"
135,2.25,With Helmet,0.61,"(224,258,309,386)"
135,2.25,With Helmet,0.53,"(120,61,184,145)"
136,2.27,No Helmet,0.64,"(714,29,765,102)"
136,2.27,With Helmet,0.60,"(209,263,296,398)"
136,2.27,With Helmet,0.48,"(116,64,182,153)"
137,2.29,No Helmet,0.58,"(715,31,767,104)"
137,2.29,With Helmet,0.53,"(108,67,177,149)"
137,2.29,With Helmet,0.25,"(195,271,284,406)"
138,2.3,No Helmet,0.64,"(718,30,769,104)"
138,2.3,With Helmet,0.56,"(104,70,172,156)"
139,2.32,No Helmet,0.71,"(721,30,771,104)"
139,2.32,With Helmet,0.47,"(99,68,167,159)"
139,2.32,With Helmet,0.45,"(363,120,452,207)"
140,2.34,No Helmet,0.69,"(724,34,774,103)"
140,2.34,With Helmet,0.63,"(96,68,165,160)"
140,2.34,With Helmet,0.46,"(362,120,451,211)"
141,2.35,No Helmet,0.71,"(724,35,777,108)"
141,2.35,With Helmet,0.65,"(90,75,163,170)"
141,2.35,With Helmet,0.33,"(362,122,450,216)"
142,2.37,No Helmet,0.69,"(724,36,779,105)"
142,2.37,With Helmet,0.62,"(85,80,160,169)"
143,2.39,No Helmet,0.55,"(725,37,782,108)"
143,2.39,With Helmet,0.52,"(78,79,149,171)"
144,2.4,With Helmet,0.74,"(73,80,142,176)"
144,2.4,No Helmet,0.59,"(725,37,783,110)"
145,2.42,With Helmet,0.75,"(66,81,139,176)"
145,2.42,No Helmet,0.70,"(726,38,783,114)"
146,2.44,No Helmet,0.72,"(725,38,785,119)"
146,2.44,With Helmet,0.70,"(59,80,132,177)"
147,2.45,With Helmet,0.75,"(51,80,125,177)"
147,2.45,No Helmet,0.67,"(725,40,786,118)"
147,2.45,With Helmet,0.27,"(351,132,437,228)"
148,2.47,With Helmet,0.81,"(45,84,119,180)"
148,2.47,No Helmet,0.69,"(726,43,785,118)"
148,2.47,With Helmet,0.28,"(349,133,434,229)"
148,2.47,No Helmet,0.26,"(412,0,452,44)"
149,2.49,With Helmet,0.81,"(40,83,112,177)"
149,2.49,No Helmet,0.69,"(726,42,786,118)"
149,2.49,With Helmet,0.38,"(345,134,433,228)"
149,2.49,No Helmet,0.31,"(413,0,453,43)"
150,2.5,With Helmet,0.73,"(28,84,106,179)"
150,2.5,No Helmet,0.71,"(727,44,786,119)"
150,2.5,With Helmet,0.34,"(342,134,432,230)"
151,2.52,No Helmet,0.77,"(727,49,785,125)"
151,2.52,With Helmet,0.64,"(25,89,99,183)"
151,2.52,With Helmet,0.27,"(342,135,428,230)"
152,2.54,No Helmet,0.77,"(728,49,786,129)"
152,2.54,With Helmet,0.66,"(16,90,92,181)"
152,2.54,With Helmet,0.42,"(339,134,425,231)"
153,2.55,No Helmet,0.74,"(728,50,786,130)"
153,2.55,With Helmet,0.63,"(6,94,82,186)"
153,2.55,With Helmet,0.31,"(337,131,422,236)"
154,2.57,No Helmet,0.74,"(727,53,787,126)"
154,2.57,With Helmet,0.56,"(4,95,75,181)"
154,2.57,With Helmet,0.34,"(335,133,419,242)"
155,2.59,No Helmet,0.70,"(729,53,788,130)"
155,2.59,With Helmet,0.54,"(332,140,414,241)"
155,2.59,With Helmet,0.51,"(2,97,69,186)"
155,2.59,No Helmet,0.34,"(402,131,455,220)"
156,2.6,With Helmet,0.66,"(0,97,62,197)"
156,2.6,No Helmet,0.66,"(726,53,789,133)"
156,2.6,With Helmet,0.65,"(329,143,411,244)"
157,2.62,No Helmet,0.73,"(727,57,787,135)"
157,2.62,With Helmet,0.63,"(0,103,52,190)"
157,2.62,With Helmet,0.62,"(325,144,407,243)"
157,2.62,No Helmet,0.28,"(422,0,467,46)"
158,2.64,No Helmet,0.72,"(727,59,787,138)"
158,2.64,With Helmet,0.69,"(322,147,405,245)"
158,2.64,With Helmet,0.61,"(0,102,45,194)"
159,2.65,With Helmet,0.68,"(320,146,404,247)"
159,2.65,No Helmet,0.59,"(725,59,786,138)"
159,2.65,With Helmet,0.48,"(0,99,38,203)"
160,2.67,No Helmet,0.65,"(724,59,785,138)"
160,2.67,With Helmet,0.62,"(317,146,398,252)"
160,2.67,With Helmet,0.55,"(0,106,26,198)"
160,2.67,No Helmet,0.28,"(385,142,440,231)"
161,2.69,No Helmet,0.66,"(724,60,784,140)"
161,2.69,With Helmet,0.49,"(315,148,390,252)"
162,2.7,With Helmet,0.71,"(309,153,389,255)"
162,2.7,No Helmet,0.67,"(724,61,784,143)"
163,2.72,With Helmet,0.76,"(306,154,386,254)"
163,2.72,No Helmet,0.69,"(724,65,784,146)"
164,2.74,With Helmet,0.78,"(301,155,385,261)"
164,2.74,No Helmet,0.67,"(723,64,783,148)"
165,2.75,With Helmet,0.80,"(298,158,383,264)"
165,2.75,No Helmet,0.72,"(721,68,782,152)"
166,2.77,With Helmet,0.83,"(296,161,382,267)"
166,2.77,No Helmet,0.67,"(721,68,783,153)"
167,2.79,With Helmet,0.81,"(293,163,375,266)"
167,2.79,No Helmet,0.64,"(721,70,783,155)"
168,2.8,With Helmet,0.78,"(291,165,372,270)"
168,2.8,No Helmet,0.66,"(722,76,784,157)"
169,2.82,With Helmet,0.79,"(287,166,368,269)"
169,2.82,No Helmet,0.55,"(719,78,783,161)"
169,2.82,With Helmet,0.26,"(435,0,481,51)"
170,2.84,With Helmet,0.78,"(283,168,365,272)"
170,2.84,No Helmet,0.57,"(717,79,783,161)"
170,2.84,With Helmet,0.25,"(436,0,482,52)"
171,2.85,With Helmet,0.77,"(280,172,361,276)"
171,2.85,No Helmet,0.55,"(714,80,783,163)"
171,2.85,With Helmet,0.34,"(437,0,483,53)"
172,2.87,With Helmet,0.79,"(277,170,360,280)"
172,2.87,No Helmet,0.63,"(715,82,783,166)"
172,2.87,With Helmet,0.30,"(439,0,484,54)"
173,2.89,With Helmet,0.78,"(273,176,358,282)"
173,2.89,No Helmet,0.60,"(713,85,782,172)"
173,2.89,With Helmet,0.30,"(440,0,485,56)"
174,2.9,With Helmet,0.79,"(269,180,354,287)"
174,2.9,No Helmet,0.63,"(714,90,780,173)"
175,2.92,With Helmet,0.78,"(266,180,349,288)"
175,2.92,No Helmet,0.70,"(713,93,779,177)"
176,2.94,With Helmet,0.80,"(261,185,344,289)"
176,2.94,No Helmet,0.64,"(710,94,777,178)"
177,2.95,With Helmet,0.81,"(258,187,343,292)"
177,2.95,No Helmet,0.65,"(709,94,775,182)"
178,2.97,With Helmet,0.81,"(253,189,338,297)"
178,2.97,No Helmet,0.56,"(704,97,774,185)"
179,2.99,With Helmet,0.76,"(250,191,337,298)"
179,2.99,No Helmet,0.58,"(703,99,773,186)"
180,3.0,With Helmet,0.77,"(246,192,332,302)"
180,3.0,No Helmet,0.52,"(701,100,774,187)"
181,3.02,With Helmet,0.76,"(242,193,329,310)"
181,3.02,No Helmet,0.66,"(700,106,772,194)"
181,3.02,No Helmet,0.30,"(449,1,495,63)"
182,3.04,With Helmet,0.80,"(239,198,321,309)"
182,3.04,No Helmet,0.68,"(699,108,771,194)"
183,3.05,With Helmet,0.84,"(234,201,321,314)"
183,3.05,No Helmet,0.78,"(698,110,769,205)"
184,3.07,With Helmet,0.86,"(230,206,318,318)"
184,3.07,No Helmet,0.77,"(698,113,768,208)"
185,3.09,With Helmet,0.84,"(224,210,314,320)"
185,3.09,No Helmet,0.74,"(695,117,766,213)"
186,3.1,With Helmet,0.77,"(221,212,313,323)"
186,3.1,No Helmet,0.71,"(689,121,765,216)"
186,3.1,No Helmet,0.27,"(301,199,365,300)"
187,3.12,With Helmet,0.75,"(217,215,307,326)"
187,3.12,No Helmet,0.62,"(689,124,761,220)"
187,3.12,No Helmet,0.49,"(295,202,361,303)"
188,3.14,With Helmet,0.80,"(212,217,300,332)"
188,3.14,No Helmet,0.49,"(680,128,761,226)"
188,3.14,With Helmet,0.33,"(460,6,505,72)"
189,3.15,With Helmet,0.84,"(208,219,299,334)"
189,3.15,No Helmet,0.64,"(681,133,759,228)"
189,3.15,With Helmet,0.25,"(460,6,507,74)"
190,3.17,With Helmet,0.84,"(203,221,297,336)"
190,3.17,No Helmet,0.71,"(679,137,753,230)"
191,3.19,With Helmet,0.82,"(200,222,292,339)"
191,3.19,No Helmet,0.62,"(677,138,750,234)"
192,3.2,With Helmet,0.80,"(192,227,287,343)"
192,3.2,No Helmet,0.74,"(672,141,748,243)"
193,3.22,With Helmet,0.81,"(187,229,281,346)"
193,3.22,No Helmet,0.69,"(667,149,746,245)"
194,3.24,With Helmet,0.79,"(182,233,276,350)"
194,3.24,No Helmet,0.78,"(662,152,742,254)"
194,3.24,No Helmet,0.28,"(266,220,333,325)"
195,3.25,With Helmet,0.76,"(178,234,271,353)"
195,3.25,No Helmet,0.70,"(658,155,736,258)"
195,3.25,No Helmet,0.35,"(274,223,327,326)"
195,3.25,With Helmet,0.25,"(466,10,514,73)"
196,3.27,With Helmet,0.76,"(171,238,264,357)"
196,3.27,No Helmet,0.62,"(654,159,732,259)"
196,3.27,With Helmet,0.33,"(466,11,515,73)"
197,3.29,With Helmet,0.80,"(164,238,256,358)"
197,3.29,No Helmet,0.60,"(648,163,727,266)"
197,3.29,No Helmet,0.43,"(250,227,319,332)"
197,3.29,With Helmet,0.32,"(467,11,516,73)"
198,3.3,With Helmet,0.80,"(157,240,255,360)"
198,3.3,With Helmet,0.62,"(642,164,725,269)"
198,3.3,No Helmet,0.42,"(249,232,312,335)"
198,3.3,With Helmet,0.36,"(467,12,517,74)"
199,3.32,With Helmet,0.76,"(153,242,247,363)"
199,3.32,No Helmet,0.53,"(632,166,719,273)"
199,3.32,With Helmet,0.43,"(634,167,720,273)"
199,3.32,With Helmet,0.40,"(467,13,517,76)"
199,3.32,No Helmet,0.38,"(240,233,306,337)"
200,3.34,With Helmet,0.82,"(144,244,240,361)"
200,3.34,No Helmet,0.57,"(631,167,712,276)"
200,3.34,With Helmet,0.36,"(467,13,517,77)"
200,3.34,No Helmet,0.27,"(236,234,301,342)"
201,3.35,With Helmet,0.85,"(138,245,234,366)"
201,3.35,No Helmet,0.65,"(625,175,705,281)"
201,3.35,With Helmet,0.44,"(468,13,516,80)"
202,3.37,With Helmet,0.80,"(132,251,230,368)"
202,3.37,No Helmet,0.70,"(614,181,701,288)"
202,3.37,With Helmet,0.29,"(467,13,518,78)"
203,3.39,With Helmet,0.80,"(122,252,224,374)"
203,3.39,No Helmet,0.62,"(610,186,695,291)"
203,3.39,With Helmet,0.37,"(468,14,517,81)"
204,3.4,With Helmet,0.82,"(116,255,217,380)"
204,3.4,With Helmet,0.44,"(603,190,688,294)"
204,3.4,With Helmet,0.37,"(468,15,518,81)"
204,3.4,No Helmet,0.30,"(602,187,687,294)"
205,3.42,With Helmet,0.80,"(110,257,210,380)"
205,3.42,With Helmet,0.68,"(595,193,681,296)"
205,3.42,With Helmet,0.31,"(467,15,519,82)"
206,3.44,With Helmet,0.76,"(101,259,204,382)"
206,3.44,No Helmet,0.60,"(588,194,675,305)"
206,3.44,With Helmet,0.42,"(467,15,517,84)"
206,3.44,With Helmet,0.39,"(589,196,677,303)"
207,3.45,With Helmet,0.80,"(95,260,195,386)"
207,3.45,No Helmet,0.53,"(582,196,667,304)"
207,3.45,With Helmet,0.47,"(468,16,516,84)"
207,3.45,No Helmet,0.37,"(190,249,261,364)"
208,3.47,With Helmet,0.81,"(88,264,190,389)"
208,3.47,With Helmet,0.56,"(575,202,660,312)"
208,3.47,With Helmet,0.50,"(468,17,517,85)"
209,3.49,With Helmet,0.77,"(80,269,182,394)"
209,3.49,No Helmet,0.52,"(566,202,653,312)"
209,3.49,With Helmet,0.51,"(468,19,517,86)"
210,3.5,With Helmet,0.81,"(72,273,178,403)"
210,3.5,No Helmet,0.41,"(558,208,646,323)"
210,3.5,No Helmet,0.38,"(469,21,517,85)"
210,3.5,With Helmet,0.30,"(469,21,517,86)"
211,3.52,With Helmet,0.81,"(66,277,168,404)"
211,3.52,No Helmet,0.45,"(158,261,232,379)"
211,3.52,No Helmet,0.39,"(468,24,517,87)"
211,3.52,No Helmet,0.34,"(551,213,637,335)"
211,3.52,With Helmet,0.27,"(468,24,518,87)"
212,3.54,With Helmet,0.76,"(55,280,162,407)"
212,3.54,No Helmet,0.51,"(151,261,225,381)"
212,3.54,With Helmet,0.46,"(467,26,517,90)"
212,3.54,No Helmet,0.36,"(468,25,516,90)"
213,3.55,With Helmet,0.81,"(50,280,156,411)"
213,3.55,With Helmet,0.47,"(467,26,517,91)"
213,3.55,No Helmet,0.38,"(467,26,516,90)"
213,3.55,No Helmet,0.36,"(147,266,217,386)"
214,3.57,With Helmet,0.80,"(40,282,148,414)"
214,3.57,No Helmet,0.57,"(468,25,516,91)"
214,3.57,No Helmet,0.37,"(138,271,210,388)"
214,3.57,With Helmet,0.27,"(468,25,516,91)"
215,3.59,With Helmet,0.81,"(30,287,139,422)"
215,3.59,No Helmet,0.67,"(468,26,515,94)"
216,3.6,With Helmet,0.80,"(25,292,131,428)"
216,3.6,With Helmet,0.43,"(467,26,517,96)"
216,3.6,No Helmet,0.27,"(508,240,593,366)"
217,3.62,With Helmet,0.77,"(19,298,122,429)"
217,3.62,With Helmet,0.51,"(467,23,519,94)"
217,3.62,No Helmet,0.31,"(112,281,188,401)"
218,3.64,With Helmet,0.70,"(6,302,115,433)"
218,3.64,With Helmet,0.51,"(466,14,518,94)"
218,3.64,No Helmet,0.37,"(106,283,179,405)"
218,3.64,No Helmet,0.26,"(480,247,574,376)"
219,3.65,With Helmet,0.77,"(0,305,106,437)"
219,3.65,No Helmet,0.42,"(100,288,172,410)"
219,3.65,With Helmet,0.36,"(463,11,519,97)"
219,3.65,No Helmet,0.33,"(475,257,566,382)"
220,3.67,With Helmet,0.63,"(0,311,100,443)"
220,3.67,No Helmet,0.60,"(89,294,166,415)"
220,3.67,With Helmet,0.32,"(460,14,521,99)"
221,3.69,With Helmet,0.56,"(0,316,91,451)"
221,3.69,No Helmet,0.41,"(81,299,158,419)"
221,3.69,With Helmet,0.36,"(461,29,519,104)"
222,3.7,With Helmet,0.76,"(0,318,81,459)"
222,3.7,With Helmet,0.54,"(465,18,523,100)"
222,3.7,No Helmet,0.38,"(72,302,150,427)"
223,3.72,With Helmet,0.71,"(0,323,72,460)"
223,3.72,No Helmet,0.59,"(62,303,141,431)"
223,3.72,With Helmet,0.41,"(467,27,518,106)"
224,3.74,With Helmet,0.68,"(0,327,68,462)"
224,3.74,With Helmet,0.51,"(467,39,515,110)"
224,3.74,No Helmet,0.44,"(57,303,134,432)"
225,3.75,With Helmet,0.65,"(0,333,58,463)"
225,3.75,With Helmet,0.43,"(467,40,516,112)"
225,3.75,With Helmet,0.25,"(497,0,527,33)"
226,3.77,With Helmet,0.65,"(0,336,46,473)"
226,3.77,With Helmet,0.39,"(502,0,530,34)"
226,3.77,With Helmet,0.38,"(468,45,516,114)"
226,3.77,No Helmet,0.33,"(468,44,515,113)"
227,3.79,With Helmet,0.59,"(0,339,38,478)"
227,3.79,With Helmet,0.57,"(467,46,517,116)"
227,3.79,No Helmet,0.52,"(31,321,109,451)"
227,3.79,With Helmet,0.29,"(505,0,536,35)"
228,3.8,No Helmet,0.67,"(17,326,100,453)"
228,3.8,With Helmet,0.62,"(466,46,516,116)"
228,3.8,With Helmet,0.28,"(0,351,24,472)"
229,3.82,No Helmet,0.58,"(3,331,94,458)"
229,3.82,With Helmet,0.58,"(465,46,516,120)"
229,3.82,No Helmet,0.39,"(340,326,441,467)"
229,3.82,With Helmet,0.27,"(515,0,545,35)"
230,3.84,No Helmet,0.80,"(0,334,81,464)"
230,3.84,With Helmet,0.69,"(462,47,516,121)"
230,3.84,No Helmet,0.50,"(323,332,428,475)"
230,3.84,With Helmet,0.32,"(517,0,551,38)"
231,3.85,No Helmet,0.80,"(0,336,72,464)"
231,3.85,With Helmet,0.64,"(462,48,514,122)"
231,3.85,With Helmet,0.46,"(522,0,556,40)"
231,3.85,No Helmet,0.46,"(310,339,415,481)"
231,3.85,With Helmet,0.31,"(117,7,147,48)"
231,3.85,No Helmet,0.26,"(119,7,148,47)"
232,3.87,No Helmet,0.74,"(0,338,63,470)"
232,3.87,With Helmet,0.69,"(461,50,514,125)"
232,3.87,No Helmet,0.58,"(290,344,399,494)"
232,3.87,With Helmet,0.49,"(526,0,560,41)"
232,3.87,No Helmet,0.33,"(122,7,149,47)"
232,3.87,With Helmet,0.31,"(120,6,148,47)"
233,3.89,No Helmet,0.73,"(0,345,54,472)"
233,3.89,With Helmet,0.64,"(461,51,514,126)"
233,3.89,With Helmet,0.58,"(528,0,564,43)"
233,3.89,No Helmet,0.46,"(272,349,383,499)"
233,3.89,With Helmet,0.33,"(124,7,152,47)"
234,3.9,No Helmet,0.74,"(0,347,45,474)"
234,3.9,With Helmet,0.71,"(461,52,514,126)"
234,3.9,With Helmet,0.48,"(535,0,568,44)"
235,3.92,With Helmet,0.74,"(460,54,514,128)"
235,3.92,With Helmet,0.54,"(538,0,572,46)"
235,3.92,No Helmet,0.35,"(130,8,159,50)"
235,3.92,No Helmet,0.26,"(0,345,36,478)"
236,3.94,With Helmet,0.73,"(460,55,514,129)"
236,3.94,No Helmet,0.47,"(133,9,160,49)"
236,3.94,With Helmet,0.46,"(543,2,575,45)"
237,3.95,With Helmet,0.68,"(458,54,514,131)"
237,3.95,With Helmet,0.45,"(525,30,612,201)"
237,3.95,With Helmet,0.28,"(135,8,164,50)"
238,3.97,With Helmet,0.69,"(458,55,513,131)"
238,3.97,With Helmet,0.34,"(531,32,615,205)"
238,3.97,No Helmet,0.33,"(138,8,169,50)"
239,3.99,With Helmet,0.65,"(458,57,512,132)"
239,3.99,No Helmet,0.51,"(142,9,171,50)"
239,3.99,With Helmet,0.28,"(554,7,585,48)"
240,4.0,With Helmet,0.60,"(458,59,512,133)"
240,4.0,No Helmet,0.37,"(145,9,172,50)"
241,4.02,With Helmet,0.60,"(456,60,511,134)"
241,4.02,With Helmet,0.46,"(563,7,596,50)"
241,4.02,With Helmet,0.40,"(542,31,627,200)"
241,4.02,With Helmet,0.30,"(147,10,177,51)"
242,4.04,With Helmet,0.62,"(456,61,510,137)"
242,4.04,With Helmet,0.52,"(566,7,597,50)"
243,4.05,With Helmet,0.68,"(456,63,509,137)"
243,4.05,With Helmet,0.43,"(571,8,602,49)"
243,4.05,With Helmet,0.29,"(153,11,181,52)"
244,4.07,With Helmet,0.55,"(574,8,606,50)"
244,4.07,With Helmet,0.53,"(456,64,507,138)"
245,4.09,With Helmet,0.52,"(455,66,506,140)"
245,4.09,With Helmet,0.48,"(577,7,610,51)"
245,4.09,With Helmet,0.42,"(75,7,122,60)"
245,4.09,No Helmet,0.31,"(453,64,507,139)"
245,4.09,With Helmet,0.29,"(159,11,187,51)"
246,4.1,With Helmet,0.68,"(453,66,506,143)"
246,4.1,With Helmet,0.40,"(79,6,126,63)"
246,4.1,With Helmet,0.30,"(581,8,613,48)"
246,4.1,With Helmet,0.27,"(161,11,190,52)"
247,4.12,With Helmet,0.67,"(451,67,504,145)"
247,4.12,With Helmet,0.50,"(84,8,131,61)"
247,4.12,With Helmet,0.42,"(584,8,617,49)"
247,4.12,With Helmet,0.28,"(164,11,192,54)"
248,4.14,With Helmet,0.67,"(448,69,502,147)"
248,4.14,With Helmet,0.59,"(85,8,135,63)"
248,4.14,With Helmet,0.45,"(587,8,619,50)"
248,4.14,With Helmet,0.31,"(166,13,193,55)"
249,4.15,With Helmet,0.73,"(447,70,502,147)"
249,4.15,No Helmet,0.27,"(168,14,194,56)"
249,4.15,With Helmet,0.26,"(88,7,140,68)"
250,4.17,With Helmet,0.69,"(446,73,501,148)"
251,4.19,With Helmet,0.68,"(445,74,499,149)"
251,4.19,With Helmet,0.37,"(597,8,627,51)"
252,4.2,With Helmet,0.64,"(444,75,498,149)"
253,4.22,With Helmet,0.57,"(100,12,152,71)"
253,4.22,With Helmet,0.57,"(441,76,498,153)"
253,4.22,With Helmet,0.38,"(178,15,206,58)"
253,4.22,With Helmet,0.26,"(604,8,630,50)"
254,4.24,With Helmet,0.73,"(106,12,156,71)"
254,4.24,With Helmet,0.55,"(438,78,498,155)"
254,4.24,With Helmet,0.30,"(178,15,205,57)"
255,4.25,With Helmet,0.57,"(108,13,160,71)"
255,4.25,With Helmet,0.57,"(435,80,496,158)"
255,4.25,With Helmet,0.32,"(610,8,639,52)"
256,4.27,With Helmet,0.70,"(113,13,163,71)"
256,4.27,With Helmet,0.59,"(433,81,493,159)"
256,4.27,With Helmet,0.32,"(185,17,215,58)"
257,4.29,With Helmet,0.65,"(118,14,166,72)"
257,4.29,With Helmet,0.54,"(432,81,489,159)"
257,4.29,With Helmet,0.53,"(187,17,216,60)"
257,4.29,With Helmet,0.28,"(616,10,645,53)"
258,4.3,With Helmet,0.64,"(429,84,485,161)"
258,4.3,With Helmet,0.62,"(120,15,170,72)"
258,4.3,With Helmet,0.50,"(189,16,217,60)"
258,4.3,With Helmet,0.35,"(621,10,655,56)"
259,4.32,With Helmet,0.65,"(427,85,483,167)"
259,4.32,With Helmet,0.60,"(123,14,173,73)"
259,4.32,With Helmet,0.42,"(624,10,658,57)"
259,4.32,With Helmet,0.36,"(191,18,216,61)"
260,4.34,With Helmet,0.72,"(128,17,176,72)"
260,4.34,With Helmet,0.70,"(424,87,483,167)"
260,4.34,With Helmet,0.40,"(626,11,661,54)"
260,4.34,With Helmet,0.27,"(192,18,220,61)"
261,4.35,With Helmet,0.78,"(423,89,481,168)"
261,4.35,With Helmet,0.78,"(130,16,179,73)"
261,4.35,With Helmet,0.50,"(630,10,664,55)"
262,4.37,With Helmet,0.78,"(132,17,182,76)"
262,4.37,With Helmet,0.75,"(422,90,479,169)"
262,4.37,With Helmet,0.47,"(633,9,666,55)"
263,4.39,With Helmet,0.73,"(420,91,477,168)"
263,4.39,With Helmet,0.67,"(135,17,186,78)"
263,4.39,With Helmet,0.32,"(637,12,670,54)"
264,4.4,With Helmet,0.61,"(418,93,478,173)"
264,4.4,With Helmet,0.61,"(140,18,189,80)"
264,4.4,With Helmet,0.43,"(638,11,671,54)"
265,4.42,With Helmet,0.67,"(143,18,192,79)"
265,4.42,With Helmet,0.62,"(415,96,473,173)"
265,4.42,With Helmet,0.25,"(642,11,674,55)"
266,4.44,With Helmet,0.64,"(145,19,196,83)"
266,4.44,With Helmet,0.55,"(412,98,472,173)"
267,4.45,With Helmet,0.61,"(149,20,200,84)"
267,4.45,With Helmet,0.55,"(410,98,470,177)"
267,4.45,With Helmet,0.33,"(210,20,238,62)"
