Frame,Time (s),Label,Confidence,"Bounding Box (x1,y1,x2,y2)"
22,0.37,No Helmet,0.29,"(752,138,795,202)"
22,0.37,With Helmet,0.29,"(132,98,154,144)"
23,0.38,With Helmet,0.55,"(456,151,510,209)"
23,0.38,With Helmet,0.53,"(133,99,156,145)"
23,0.38,No Helmet,0.52,"(457,100,487,148)"
23,0.38,With Helmet,0.45,"(354,106,396,165)"
23,0.38,No Helmet,0.41,"(506,147,536,200)"
23,0.38,No Helmet,0.41,"(752,140,797,202)"
24,0.4,With Helmet,0.56,"(133,98,159,146)"
24,0.4,No Helmet,0.46,"(753,139,797,202)"
24,0.4,With Helmet,0.44,"(353,106,396,165)"
24,0.4,With Helmet,0.41,"(456,151,510,208)"
24,0.4,No Helmet,0.36,"(506,147,536,200)"
24,0.4,No Helmet,0.32,"(459,98,494,148)"
25,0.42,No Helmet,0.51,"(463,98,499,149)"
25,0.42,With Helmet,0.48,"(457,151,510,208)"
25,0.42,With Helmet,0.45,"(353,105,396,166)"
25,0.42,No Helmet,0.42,"(754,139,796,202)"
25,0.42,With Helmet,0.39,"(134,98,160,144)"
25,0.42,No Helmet,0.35,"(506,147,535,200)"
26,0.43,With Helmet,0.50,"(351,105,394,167)"
26,0.43,With Helmet,0.49,"(134,98,161,143)"
26,0.43,No Helmet,0.49,"(754,140,795,202)"
26,0.43,No Helmet,0.43,"(465,97,500,147)"
26,0.43,With Helmet,0.42,"(457,151,510,208)"
26,0.43,No Helmet,0.28,"(503,144,534,198)"
27,0.45,With Helmet,0.50,"(458,151,509,208)"
27,0.45,With Helmet,0.49,"(349,105,394,167)"
27,0.45,With Helmet,0.46,"(135,99,164,144)"
27,0.45,No Helmet,0.44,"(751,138,799,203)"
27,0.45,No Helmet,0.36,"(502,144,535,200)"
27,0.45,No Helmet,0.30,"(468,99,504,147)"
28,0.47,With Helmet,0.57,"(133,98,167,145)"
28,0.47,With Helmet,0.50,"(349,105,392,167)"
28,0.47,No Helmet,0.44,"(751,138,799,203)"
28,0.47,With Helmet,0.41,"(460,152,510,210)"
28,0.47,No Helmet,0.32,"(502,144,534,201)"
28,0.47,With Helmet,0.31,"(468,96,507,152)"
29,0.48,With Helmet,0.70,"(138,97,169,144)"
29,0.48,With Helmet,0.56,"(462,153,509,210)"
29,0.48,With Helmet,0.47,"(348,105,391,167)"
29,0.48,No Helmet,0.35,"(752,139,799,205)"
29,0.48,No Helmet,0.33,"(502,143,533,202)"
29,0.48,No Helmet,0.32,"(473,99,509,154)"
